,ngrams,male_average,female_average,diff
0,ass,7.03221957648,5.999069001,1.03315057549
1,asshole,6.52959615174,5.49071651204,1.03887963971
2,bitch,5.8368896619,6.1145839993,0.2776943374
3,bullshit,5.64685963802,5.30721771429,0.339641923733
4,crap,7.40009546461,6.50925309425,0.890842370359
5,cunt,4.77357517015,4.5867298048,0.186845365355
6,damn,4.95835686637,4.95729269238,0.00106417398672
7,dick,6.1319979377,5.4434719458,0.688525991906
8,dumb,4.79413081903,4.76711183025,0.027018988784
9,fag,4.11741352397,4.02767235611,0.0897411678656
10,faggot,5.13541516015,4.67982363184,0.455591528309
11,fuck,10.6479289831,9.45037122283,1.19755776028
12,fucked,4.22973780384,3.84333961443,0.386398189409
13,fucking,9.15788493975,8.58285896684,0.575025972908
14,gay,6.29879256775,5.38510823512,0.913684332625
15,hell,5.1138059327,4.53077463404,0.583031298656
16,idiot,7.29534650268,7.32250008606,0.0271535833746
17,idiots,4.8378609366,4.28382095344,0.554039983157
18,kill,4.15276095496,3.96815695858,0.184603996381
19,moron,5.25125282621,5.19966782987,0.0515849963417
20,pathetic,4.40152556707,3.49169891085,0.909826656219
21,penis,5.26966652499,4.78717207746,0.482494447537
22,retarded,4.10209123097,3.18329839758,0.918792833398
23,ridiculous,4.7710388099,3.74671202053,1.02432678937
24,sex,4.3028234145,3.98039279518,0.322430619312
25,shit,8.33505557097,7.66228014638,0.672775424589
26,stupid,9.90395928794,7.74308932842,2.16086995952
27,suck,6.26392775614,5.5146884414,0.749239314738
28,sucks,5.38222361455,5.1546859395,0.227537675053
29,wtf,4.61131973216,3.15679411278,1.45452561938
30,you,5.55733876281,5.10702475182,0.450314010995
