,ngrams,male_average,female_average,diff,men_less_offended
0,anal,2.78762418613,2.08768700374,0.699937182386,False
1,arrogant,2.70817082192,2.6219666491,0.0862041728225,False
2,arse,2.54368686985,2.6468340167,0.103147146848,True
3,ass,7.03221957648,5.999069001,1.03315057549,False
4,asshole,6.52959615174,5.49071651204,1.03887963971,False
5,attack,2.10669681584,2.00458864563,0.102108170204,False
6,balls,3.36432899639,2.36805251637,0.996276480012,False
7,bastard,4.07508681894,4.06008576071,0.0150010582364,False
8,bitch,5.8368896619,6.1145839993,0.2776943374,True
9,bitches,2.15823327089,2.38551987827,0.227286607375,True
10,black,2.44861890402,2.22852353607,0.220095367943,False
11,bloody,2.85961677301,2.67681153998,0.182805233035,False
12,brain,2.2920124136,2.38499933607,0.0929869224703,True
13,bullshit,5.64685963802,5.30721771429,0.339641923733,False
14,bully,2.17555570437,2.06405551895,0.111500185417,False
15,butt,2.52694470021,2.85928508259,0.33234038238,True
16,cock,3.80385141741,3.7058744566,0.097976960813,False
17,coward,2.27437808042,2.11149074179,0.162887338627,False
18,crap,7.40009546461,6.50925309425,0.890842370359,False
19,crazy,2.8434155026,3.34260189354,0.499186390936,True
20,cunt,4.77357517015,4.5867298048,0.186845365355,False
21,damn,4.95835686637,4.95729269238,0.00106417398672,False
22,dead,2.39534410224,2.17367697768,0.22166712456,False
23,dick,6.1319979377,5.4434719458,0.688525991906,False
24,dickhead,3.40123874416,2.75763164347,0.643607100688,False
25,die,3.98807571691,3.68995784408,0.29811787283,False
26,dirty,2.3811923992,2.24447330639,0.13671909281,False
27,disgusting,3.1028471671,2.89888965606,0.20395751104,False
28,dumb,4.79413081903,4.76711183025,0.027018988784,False
29,eat,2.35006148986,2.08526418691,0.264797302951,False
30,fag,4.11741352397,4.02767235611,0.0897411678656,False
31,faggot,5.13541516015,4.67982363184,0.455591528309,False
32,faggots,2.45922505975,2.58883236226,0.129607302513,True
33,fart,2.085435784,2.01775733033,0.0676784536706,False
34,fascist,2.63923540017,2.03809966541,0.601135734765,False
35,fat,3.78095276695,2.93018504521,0.850767721732,False
36,fool,3.4935294726,2.63007821153,0.863451261076,False
37,fuck,10.6479289831,9.45037122283,1.19755776028,False
38,fuck you,2.09305907869,2.20425954868,0.111200469996,True
39,fucked,4.22973780384,3.84333961443,0.386398189409,False
40,fucker,3.38137757952,3.2981031849,0.0832743946243,False
41,fuckin,2.47175668092,2.37550094009,0.0962557408226,False
42,fucking,9.15788493975,8.58285896684,0.575025972908,False
43,garbage,3.60993384467,3.77274374469,0.162809900021,True
44,gay,6.29879256775,5.38510823512,0.913684332625,False
45,get,2.67330242445,2.15236470776,0.52093771669,False
46,go,2.46126915426,2.29995924073,0.161309913522,False
47,hate,3.58296035085,4.04384422865,0.460883877803,True
48,head,2.31006742329,2.47772321822,0.167655794934,True
49,hell,5.1138059327,4.53077463404,0.583031298656,False
50,hole,2.25873246039,2.38002292833,0.121290467943,True
51,homosexual,3.03620624117,2.44981115647,0.586395084694,False
52,horrible,2.34346623633,2.00103479117,0.342431445155,False
53,idiot,7.29534650268,7.32250008606,0.0271535833746,True
54,idiots,4.8378609366,4.28382095344,0.554039983157,False
55,ignorant,3.58926960616,4.05650154919,0.467231943022,True
56,jerk,3.8116646186,3.33766870504,0.473995913568,False
57,jew,2.43807881921,2.23444013043,0.203638688778,False
58,joke,2.48197385012,2.19860906489,0.283364785234,False
59,kill,4.15276095496,3.96815695858,0.184603996381,False
60,killed,2.70139848725,2.57076354503,0.130634942223,False
61,liar,3.63211848279,2.82535481403,0.806763668762,False
62,lick,2.0457290153,2.07495652651,0.0292275112063,True
63,lol,2.11485144503,2.09458343315,0.0202680118766,False
64,loser,3.4111054548,3.7690128111,0.357907356297,True
65,moron,5.25125282621,5.19966782987,0.0515849963417,False
66,nazi,3.95386026319,2.65273280283,1.30112746036,False
67,nazis,3.10196685839,2.31107071346,0.790896144932,False
68,nigger,3.40085415199,3.42542862298,0.0245744709934,True
69,niggers,2.53545058446,2.5186499319,0.0168006525579,False
70,nonsense,3.54121997745,2.91716757506,0.624052402382,False
71,off,3.4239884979,3.05823662214,0.365751875762,False
72,pathetic,4.40152556707,3.49169891085,0.909826656219,False
73,penis,5.26966652499,4.78717207746,0.482494447537,False
74,piss,2.87789928931,2.20862566002,0.669273629293,False
75,prick,2.55795553853,2.94235461282,0.384399074295,True
76,pussy,3.33047360059,2.97737983019,0.353093770405,False
77,racist,3.69924415386,3.60583512779,0.0934090260709,False
78,rape,2.1688593699,2.10490706253,0.0639523073724,False
79,retard,3.22576367149,2.33266839551,0.893095275982,False
80,retarded,4.10209123097,3.18329839758,0.918792833398,False
81,ridiculous,4.7710388099,3.74671202053,1.02432678937,False
82,rubbish,2.48621473178,2.49483153063,0.0086167988459,True
83,screw,2.69860990458,2.51267164594,0.185938258635,False
84,scum,2.90924684331,2.21099864856,0.69824819475,False
85,sex,4.3028234145,3.98039279518,0.322430619312,False
86,sexual,3.05475567753,3.29093897299,0.236183295462,True
87,shame,2.50723392635,2.1461652514,0.361068674955,False
88,shit,8.33505557097,7.66228014638,0.672775424589,False
89,shut,3.28321378013,3.4941753612,0.210961581073,True
90,shut up,2.7037467012,2.34947659643,0.354270104777,False
91,sick,2.70388773883,2.611456913,0.0924308258322,False
92,silly,3.83139609171,3.1947678796,0.636628212104,False
93,smells,2.00957440439,2.275418904,0.265844499616,True
94,sockpuppet,3.54056328468,3.44727084993,0.0932924347504,False
95,stop,3.03245171137,2.66596877668,0.366482934698,False
96,stupid,9.90395928794,7.74308932842,2.16086995952,False
97,suck,6.26392775614,5.5146884414,0.749239314738,False
98,sucks,5.38222361455,5.1546859395,0.227537675053,False
99,terrorist,2.6095766689,2.25441392167,0.355162747227,False
100,the hell,2.73278185259,2.77576629739,0.0429844447969,True
101,troll,2.58550950837,2.72251289536,0.137003386991,True
102,twat,2.50520733852,2.00997711585,0.495230222675,False
103,ugly,3.1082793214,3.38804375101,0.279764429616,True
104,ur,2.17096778441,2.94627860743,0.775310823023,True
105,vagina,2.86034399089,2.79663984761,0.0637041432818,False
106,vandal,2.74844085768,2.38269806082,0.365742796863,False
107,vandalism,2.08524185627,2.04018087389,0.0450609823737,False
108,wanker,2.69356817488,2.34448278253,0.349085392342,False
109,wtf,4.61131973216,3.15679411278,1.45452561938,False
110,you,5.55733876281,5.10702475182,0.450314010995,False
111,your,3.33166955516,3.6957638692,0.364094314043,True
112,yourself,2.12861090352,2.47758826815,0.348977364628,True
